Name,Age,Nationality,Overall,Potential,Club,Value,Wage
J. Ward,27,England,74,74,Crystal Palace,4600000,44000
Y. Kaboul,31,France,75,75,Watford,4500000,44000
M. Britos,31,Uruguay,75,75,Watford,4500000,44000
A. Mariappa,30,Jamaica,74,74,Watford,4200000,44000
D. Boyata,26,Belgium,73,75,Celtic,4000000,44000
N. Sanchez,31,Argentina,74,74,Monterrey,3800000,44000
K. Long,26,Republic of Ireland,73,73,Burnley,3500000,44000
M. Compper,32,Germany,74,74,Celtic,3200000,44000
J. Basanta,33,Argentina,74,74,Monterrey,2300000,44000
G. Barry,36,England,76,76,West Bromwich Albion,1000000,44000
T. Hazard,24,Belgium,82,85,Borussia Mönchengladbach,28000000,43000
Manu Trigueros,25,Spain,82,85,Villarreal CF,27500000,43000
Victor Ruiz,28,Spain,82,83,Villarreal CF,20000000,43000
C. Pulisic,18,United States,79,89,Borussia Dortmund,18500000,43000
L. Hernandez,21,France,79,89,Atletico Madrid,18000000,43000
D. Rolan,24,Uruguay,78,81,Malaga CF,13500000,43000
E. Mammana,21,Argentina,77,88,Zenit St. Petersburg,13500000,43000
N. Barella,20,Italy,76,88,Cagliari,13500000,43000
L. Tousart,20,France,78,85,Olympique Lyonnais,12500000,43000
J. Lukaku,22,Belgium,77,83,Lazio,12000000,43000
Bastos,25,Angola,78,83,Lazio,11500000,43000
K. Tete,21,Netherlands,78,83,Olympique Lyonnais,11500000,43000
A. Marušić,24,Montenegro,77,80,Lazio,11500000,43000
Louri Beretta,25,Brazil,77,77,Fluminense Football Club,10000000,43000
R. Morrison,24,England,76,80,Club Atlas,10000000,43000
I. Fetfatzidis,26,Greece,77,77,Al Ahli,9500000,43000
Thiago Mendes,25,Brazil,76,79,LOSC Lille,9500000,43000
N. Al Abed,27,Saudi Arabia,76,76,Al Hilal,8000000,43000
S. Terodde,29,Germany,76,76,1. FC Köln,7500000,43000
S. Guemueş,23,Turkey,74,78,Galatasaray SK,7500000,43000
C. Kabore,29,Burkina Faso,77,77,FC Krasnodar,7000000,43000
N. Pejčinović,29,Serbia,77,77,Lokomotiv Moscow,7000000,43000
C. Villanueva,31,Chile,76,76,Al Ittihad,7000000,43000
T. Ciğerci,25,Turkey,75,78,Galatasaray SK,7000000,43000
P. Baysse,29,France,76,76,Girondins de Bordeaux,6000000,43000
R. Laborde,29,Colombia,74,74,FC Krasnodar,5500000,43000
B. Douglas,27,Scotland,74,74,Wolverhampton Wanderers,4600000,43000
M. Linnes,25,Norway,73,75,Galatasaray SK,4000000,43000
E. Fernandes,21,Switzerland,71,80,West Ham United,3700000,43000
A. King,28,Wales,72,72,Swansea City,3100000,43000
S. McTominay,20,Scotland,68,81,Manchester United,1700000,43000
Willian Jose,25,Brazil,82,85,Real Sociedad,28500000,42000
J. Iličić,29,Slovenia,81,81,Atalanta,18000000,42000
N. Bentaleb,22,Algeria,79,84,FC Schalke 04,16500000,42000
C. Kramer,26,Germany,80,81,Borussia Mönchengladbach,14500000,42000
J. Hector,27,Germany,80,81,1. FC Köln,13500000,42000
V. Germain,27,France,79,79,Olympique de Marseille,13500000,42000
Y. M'Vila,27,France,79,82,AS Saint-Étienne,12500000,42000
L. Perrin,31,France,81,81,AS Saint-Étienne,12000000,42000
J. Kucka,30,Slovakia,79,79,Trabzonspor,11500000,42000
M. Dembele,20,France,75,85,Celtic,11000000,42000
B. Huebner,27,Germany,79,79,TSG 1899 Hoffenheim,10500000,42000
B. Costil,29,France,80,80,Girondins de Bordeaux,10000000,42000
A. Peñaranda,20,Venezuela,75,83,Malaga CF,10000000,42000
I. Akinfeev,31,Russia,80,80,CSKA Moscow,9000000,42000
T. Rogić,24,Australia,75,78,Celtic,8500000,42000
A. Gonzalez,22,Mexico,74,80,Monterrey,7500000,42000
C. McGregor,24,Scotland,74,77,Celtic,7000000,42000
S. Johansen,26,Norway,74,75,Fulham,6500000,42000
E. Schelotto,28,Italy,75,75,Brighton & Hove Albion,5500000,42000
J. Hogg,28,England,75,75,Huddersfield Town,5500000,42000
T. Ince,25,England,73,76,Huddersfield Town,5000000,42000
C. Dominguez,22,Paraguay,73,77,Club America,5000000,42000
G. Bong,29,Cameroon,74,74,Brighton & Hove Albion,4300000,42000
R. Jack,25,Scotland,73,75,Rangers,4100000,42000
E. Sviatchenko,25,Denmark,73,75,FC Midtjylland,4100000,42000
J. Tavernier,25,England,73,76,Rangers,4100000,42000
J. Bahebeck,24,France,72,75,FC Utrecht,4000000,42000
F. Magnanelli,32,Italy,75,75,Sassuolo,3800000,42000
C. Löwe,28,Germany,73,73,Huddersfield Town,3200000,42000
L. Grant,34,England,74,74,Stoke City,2300000,42000
V. Torosidis,32,Greece,73,73,Bologna,2200000,42000
S. Ojo,20,England,68,83,Fulham,2000000,42000
B. Myhill,34,Wales,73,73,West Bromwich Albion,1600000,42000
S. Diaz,19,Paraguay,67,81,CD Lugo,1600000,42000
F. Peluso,33,Italy,73,73,Sassuolo,1500000,42000
S. Tarashaj,22,Switzerland,68,75,Everton,1300000,42000
C. Akpom,21,England,67,74,Sint-Truidense VV,1100000,42000
K. Mbappe,18,France,84,94,Paris Saint-Germain,47000000,41000
R. Fährmann,28,Germany,83,84,FC Schalke 04,21000000,41000
A. Plea,24,France,80,83,OGC Nice,19000000,41000
K. Honda,31,Japan,79,79,Pachuca,11000000,41000
O. Kharbin,23,Syria,76,83,Al Hilal,11000000,41000
Alex Berenguer,21,Spain,76,82,Torino,10500000,41000
D. Kohr,23,Germany,77,82,Bayer 04 Leverkusen,10000000,41000
Renato Sanches,19,Portugal,75,84,Swansea City,10000000,41000
S. Sirigu,30,Italy,80,80,Torino,9500000,41000
Wendell,23,Brazil,77,81,Bayer 04 Leverkusen,9500000,41000
N. Fuellkrug,24,Germany,76,78,Hannover 96,9500000,41000
F. Mendy,22,France,75,84,Olympique Lyonnais,9000000,41000
R. Bobadilla,30,Paraguay,76,76,Borussia Mönchengladbach,7500000,41000
Dalbert,23,Brazil,75,80,Inter,7500000,41000
G. Rivas,28,Venezuela,75,75,Al Hilal,7000000,41000
Gerson,20,Brazil,73,83,Roma,6500000,41000
S. Cristóforo,23,Uruguay,74,78,Fiorentina,6000000,41000
C. Larin,22,Canada,73,81,Beşiktaş JK,6000000,41000
C. Erkin,28,Turkey,75,75,Beşiktaş JK,5500000,41000
Z. Machach,21,France,73,80,Napoli,5500000,41000
Bruno Gaspar,24,Portugal,73,77,Fiorentina,4300000,41000
M. Doherty,25,Republic of Ireland,73,76,Wolverhampton Wanderers,4100000,41000
S. Simič,22,Czech Republic,72,80,Crotone,3900000,41000
J. Mauri,21,Italy,71,78,Milan,3300000,41000
S. Ireland,30,Republic of Ireland,72,72,Stoke City,2900000,41000
Marco Matias,28,Portugal,70,70,Sheffield Wednesday,1800000,41000
K. Wriedt,22,Ghana,67,72,FC Bayern Munich,1000000,41000
K. Demirbay,23,Germany,80,84,TSG 1899 Hoffenheim,19500000,40000
E. Garay,30,Argentina,83,83,Valencia CF,19000000,40000
Luiz Gustavo,29,Brazil,82,82,Olympique de Marseille,17000000,40000
K. Vogt,25,Germany,80,82,TSG 1899 Hoffenheim,15000000,40000
C. Ünder,19,Turkey,77,87,Roma,14000000,40000
F. Chiesa,19,Italy,77,86,Fiorentina,13500000,40000
Z. Junuzović,29,Austria,79,79,SV Werder Bremen,12000000,40000
S. Kritsyuk,26,Russia,79,82,FC Krasnodar,11000000,40000
K. Tierney,20,Scotland,76,86,Celtic,11000000,40000
N. Mueller,29,Germany,78,78,Hamburger SV,10000000,40000
F. Johnson,29,United States,78,78,Borussia Mönchengladbach,10000000,40000
R. Bazoer,20,Netherlands,75,84,VfL Wolfsburg,10000000,40000
Jaume Costa,29,Spain,79,79,Villarreal CF,9500000,40000
N. Pope,25,England,78,81,Burnley,9000000,40000
A. Duncan,24,Ghana,75,80,Sassuolo,9000000,40000
M. Suchý,29,Czech Republic,78,78,FC Basel,8000000,40000
Y. Gerhardt,23,Germany,75,81,VfL Wolfsburg,7500000,40000
G. Ferrari,25,Italy,75,80,Sampdoria,7500000,40000
M. Tisserand,24,DR Congo,75,80,VfL Wolfsburg,7500000,40000
R. Kishna,22,Netherlands,74,78,ADO Den Haag,7500000,40000
E. Durm,25,Germany,75,77,Borussia Dortmund,6500000,40000
M. Jørgensen,27,Denmark,75,77,Huddersfield Town,6500000,40000
Bernardo,22,Brazil,74,81,RB Leipzig,6500000,40000
Welington Dano,29,Brazil,76,76,Fluminense Football Club,6000000,40000
M. Sels,25,Belgium,75,78,RSC Anderlecht,6000000,40000
K. Laimer,20,Austria,73,81,RB Leipzig,6000000,40000
F. Diedhiou,24,Senegal,73,77,Bristol City,5500000,40000
B. Chilwell,20,England,73,83,Leicester City,5500000,40000
B. Reid,24,England,73,78,Bristol City,5500000,40000
M. Grujić,21,Serbia,72,85,Cardiff City,5500000,40000
I. Kutepov,23,Russia,73,81,Spartak Moscow,5000000,40000
L. Crisetig,24,Italy,73,77,Bologna,5000000,40000
J. Fleck,25,Scotland,73,75,Sheffield United,4800000,40000
K. McDonald,28,Scotland,74,74,Fulham,4600000,40000
Hernani,23,Brazil,73,77,AS Saint-Étienne,4400000,40000
N. Uysal,26,Turkey,73,75,Beşiktaş JK,4000000,40000
D. Tošić,32,Serbia,75,75,Beşiktaş JK,3800000,40000
M. Suttner,30,Austria,73,73,Brighton & Hove Albion,2900000,40000
M. Pugh,30,England,72,72,Bournemouth,2900000,40000
J. Kenny,20,England,70,80,Everton,2500000,40000
S. Fletcher,30,Scotland,71,71,Sheffield Wednesday,2300000,40000
S. Winnall,26,England,70,71,Derby County,2100000,40000
D. Nugent,32,England,71,71,Derby County,1900000,40000
J. Rhodes,27,Scotland,70,70,Sheffield Wednesday,1900000,40000
C. Jerome,30,England,70,70,Derby County,1700000,40000
D. Bent,33,England,70,70,Burton Albion,1100000,40000
T. Horn,24,Germany,84,90,1. FC Köln,31000000,39000
Gerard Moreno,25,Spain,80,83,RCD Espanyol,19000000,39000
Y. Sommer,28,Switzerland,82,83,Borussia Mönchengladbach,18000000,39000
P. Piatti,28,Argentina,80,80,RCD Espanyol,15000000,39000
Rúben Neves,20,Portugal,78,86,Wolverhampton Wanderers,13500000,39000
Wallace,22,Brazil,77,85,Lazio,11500000,39000
Y. Benzia,22,Algeria,76,82,LOSC Lille,10500000,39000
T. Alexander-Arnold,18,England,75,87,Liverpool,9500000,39000
R. Hamouma,30,France,77,77,AS Saint-Étienne,8500000,39000
B. Oczipka,28,Germany,78,78,FC Schalke 04,8000000,39000
B. Oczipka,28,Germany,78,78,FC Schalke 04,8000000,39000
J. Obi,26,Nigeria,75,76,Torino,7500000,39000
R. van Wolfswinkel,28,Netherlands,75,75,FC Basel,7000000,39000
Dante,33,Brazil,80,80,OGC Nice,6000000,39000
P. Schwegler,30,Switzerland,76,76,Hannover 96,5500000,39000
A. Çalık,23,Turkey,73,78,Galatasaray SK,4500000,39000
J. Onomah,20,England,71,83,Aston Villa,4200000,39000
M. Al Sahlawi,30,Saudi Arabia,73,73,Al Nassr,3900000,39000
A. Brignoli,25,Italy,71,73,Benevento Calcio,2000000,39000
L. Bailey,19,Jamaica,82,89,Bayer 04 Leverkusen,30500000,38000
K. Balde,22,Senegal,81,88,AS Monaco,25000000,38000
M. Nastasić,24,Serbia,81,84,FC Schalke 04,19000000,38000
M. Meyer,21,Germany,79,85,FC Schalke 04,17000000,38000
K. Boateng,30,Ghana,81,81,Eintracht Frankfurt,16500000,38000
M. Gómez,31,Germany,81,81,VfB Stuttgart,16000000,38000
V. Darida,26,Czech Republic,79,80,Hertha BSC Berlin,14500000,38000
Mario Gaspar,26,Spain,80,81,Villarreal CF,14000000,38000
S. Kalou,31,Ivory Coast,80,80,Hertha BSC Berlin,13000000,38000
M. Fabian,27,Mexico,79,79,Eintracht Frankfurt,13000000,38000
Álvaro,27,Spain,79,80,Villarreal CF,12000000,38000
Aduriz,36,Spain,84,84,Athletic Club de Bilbao,11000000,38000
I. Bebou,23,Togo,76,81,Hannover 96,10500000,38000
M. Lang,26,Switzerland,78,79,FC Basel,10000000,38000
M. Dabbur,25,Israel,76,79,FC Red Bull Salzburg,10000000,38000
M. Risse,27,Germany,77,77,1. FC Köln,9500000,38000
P. Herrmann,26,Germany,77,77,Borussia Mönchengladbach,9500000,38000
L. Rupp,26,Germany,76,77,TSG 1899 Hoffenheim,9000000,38000
E. Adebayor,33,Togo,79,79,İstanbul Başakşehir FK,8000000,38000
A. Ekdal,27,Sweden,76,76,Hamburger SV,8000000,38000
M. Höger,27,Germany,76,76,1. FC Köln,8000000,38000
O. Pineda,21,Mexico,74,82,Guadalajara,8000000,38000
B. Mensah,22,Ghana,74,81,Kasimpaşa SK,8000000,38000
J. Korb,25,Germany,76,77,Hannover 96,7500000,38000
A. Hunt,30,Germany,76,76,Hamburger SV,7500000,38000
C. Salcedo,23,Mexico,75,79,Eintracht Frankfurt,7500000,38000
M. Boselli,32,Argentina,77,77,Club León,7000000,38000
J. Kodjia,27,Ivory Coast,75,75,Aston Villa,7000000,38000
A. Flint,27,England,75,76,Bristol City,6500000,38000
C. Taylor,23,England,74,78,Burnley,6000000,38000
I. Success,21,Nigeria,73,81,Malaga CF,6000000,38000
Claudemir,29,Brazil,74,74,Al Ahli,5500000,38000
A. Pritchard,24,England,73,78,Huddersfield Town,5500000,38000
Javi Fuego,33,Spain,79,79,Villarreal CF,5000000,38000
L. Sepe,26,Italy,74,77,Napoli,4900000,38000
A. Kasaev,31,Russia,74,74,Lokomotiv Moscow,4900000,38000
Rafael,27,Brazil,74,77,Napoli,4700000,38000
B. Valdez,24,Paraguay,73,78,Club America,4500000,38000
G. Rodriguez,22,Argentina,73,77,Club America,4400000,38000
S. Muwashar,28,Saudi Arabia,73,73,Al Ahli,4000000,38000
N. Baker,26,England,73,75,Bristol City,4000000,38000
K. Westwood,32,Republic of Ireland,75,75,Sheffield Wednesday,3800000,38000
D. Solanke,19,England,70,84,Liverpool,3800000,38000
D. Padelli,31,Italy,74,74,Inter,3400000,38000
D. Kaiser,28,Germany,72,72,RB Leipzig,3100000,38000
K. Lee,29,England,72,72,Sheffield Wednesday,3000000,38000
A. Rebrov,33,Russia,74,74,Spartak Moscow,2800000,38000
M. Kerzhakov,30,Russia,73,73,Zenit St. Petersburg,2600000,38000
Gus Outomouro,33,Brazil,73,73,Fluminense Football Club,2500000,38000
N. Wells,27,Bermuda,71,71,Burnley,2500000,38000
S. Carson,31,England,73,73,Derby County,2400000,38000
J. Colback,27,England,71,71,Nottingham Forest,2000000,38000
H. Wilson,20,Wales,68,82,Hull City,2000000,38000
R. Kent,20,England,69,80,Bristol City,1800000,38000
Jesús Gamez,32,Spain,72,72,Newcastle United,1700000,38000
I. Anya,29,Scotland,70,70,Derby County,1700000,38000
T. Browning,23,England,69,77,Sunderland,1300000,38000
H. Robson-Kanu,28,Wales,69,69,West Bromwich Albion,1100000,38000
M. Pennington,22,England,67,77,Leeds United,1100000,38000
C. Borthwick-Jackson,20,England,67,74,Manchester United,925000,38000
M. Storari,40,Italy,76,76,Milan,525000,38000
T. Lemar,21,France,83,89,AS Monaco,36000000,37000
O. Baumann,27,Germany,83,84,TSG 1899 Hoffenheim,20000000,37000
Gabriel Paulista,26,Brazil,81,83,Valencia CF,18000000,37000
Illarramendi,27,Spain,81,81,Real Sociedad,18000000,37000
E. Viviano,31,Italy,83,83,Sampdoria,15500000,37000
F. Coquelin,26,France,80,81,Valencia CF,14500000,37000
D. Zurutuza,30,France,79,79,Real Sociedad,11500000,37000
Jurado,31,Spain,79,79,RCD Espanyol,11000000,37000
B. Stambouli,26,France,78,80,FC Schalke 04,10500000,37000
A. Selikhov,23,Russia,78,83,Spartak Moscow,10000000,37000
A. Selikhov,23,Russia,78,83,Spartak Moscow,10000000,37000
Xabi Prieto,33,Spain,80,80,Real Sociedad,8500000,37000
N. Subotić,28,Serbia,78,78,AS Saint-Étienne,8500000,37000
Coke,30,Spain,78,78,Levante UD,7500000,37000
P. Jansson,26,Sweden,76,78,Leeds United,7500000,37000
Everticinho,29,Brazil,77,77,Sociedade Esportiva Palmeiras,6500000,37000
G. Schennikov,26,Russia,75,76,CSKA Moscow,6500000,37000
Luimo Boas Santos,29,Brazil,75,75,Clube Atletico Mineiro,6500000,37000
A. Adomah,29,Ghana,75,75,Aston Villa,6500000,37000
Rosberto Dourado,29,Brazil,76,76,Clube Atletico Mineiro,6000000,37000
Douglas Luiz,19,Brazil,72,84,Girona CF,5500000,37000
Nelson Oliveira,25,Portugal,73,75,Norwich City,5000000,37000
Manu Garcia,19,Spain,72,83,NAC Breda,5000000,37000
A. Acquah,25,Ghana,73,74,Torino,4700000,37000
M. Kean,17,Italy,71,86,Hellas Verona,4700000,37000
Leandro Vivenço,29,Brazil,73,73,Sociedade Esportiva Palmeiras,4000000,37000
R. Kambolov,27,Russia,73,75,Rubin Kazan,3900000,37000
Sergio Sanchez,31,Spain,74,74,RCD Espanyol,3800000,37000
F. Marchetti,34,Italy,77,77,Lazio,3600000,37000
Danilo Avelar,28,Brazil,73,73,Amiens SC Football,3200000,37000
V. Berezutskiy,35,Russia,79,79,CSKA Moscow,3000000,37000
F. Kudryashov,30,Russia,73,73,Rubin Kazan,3000000,37000
J. Stephens,23,England,71,77,Southampton,2800000,37000
J. Torres Nilo,29,Mexico,72,72,Tigres U.A.N.L.,2400000,37000
A. Ryazantsev,30,Russia,70,70,Amkar Perm,1700000,37000
Óscar,19,Spain,68,81,Real Madrid CF,1700000,37000
A. Tello,20,Colombia,68,78,Bari,1400000,37000
G. McAuley,37,Northern Ireland,75,75,West Bromwich Albion,900000,37000
D. Del Fabro,22,Italy,67,72,Novara,875000,37000
F. Thauvin,24,France,83,86,Olympique de Marseille,33000000,36000
M. Perin,24,Italy,84,89,Genoa,30000000,36000
Samu Castillejo,22,Spain,80,85,Villarreal CF,20000000,36000
Leo Baptistao,24,Brazil,80,83,RCD Espanyol,19000000,36000
J. Vestergaard,24,Denmark,80,82,Borussia Mönchengladbach,15500000,36000
T. Strakosha,22,Albania,79,89,Lazio,15500000,36000
Susaeta,29,Spain,80,80,Athletic Club de Bilbao,14500000,36000
M. Elyounoussi,22,Norway,78,84,FC Basel,14000000,36000
M. Ginter,23,Germany,79,82,Borussia Mönchengladbach,13500000,36000
C. Stuani,30,Uruguay,79,79,Girona CF,12000000,36000
N. Sansone,25,Italy,77,80,Villarreal CF,11500000,36000
Carles Gil,24,Spain,77,80,RC Deportivo de La Coruña,11500000,36000
K. Mitroglou,29,Greece,78,78,Olympique de Marseille,10500000,36000
H. Moreno,29,Mexico,79,79,Real Sociedad,10000000,36000
E. Hernandez,29,Mexico,78,78,Club León,10000000,36000
B. Henrichs,20,Germany,76,85,Bayer 04 Leverkusen,10000000,36000
G. Donsah,21,Ghana,75,83,Bologna,10000000,36000
D. Cataldi,22,Italy,75,83,Benevento Calcio,9500000,36000
M. Ryan,25,Australia,78,81,Brighton & Hove Albion,9000000,36000
T. Jedvaj,21,Croatia,76,82,Bayer 04 Leverkusen,9000000,36000
M. Diakhaby,20,France,75,83,Olympique Lyonnais,8500000,36000
V. Claesson,25,Sweden,75,78,FC Krasnodar,8500000,36000
A. Nagy,22,Hungary,74,85,Bologna,8500000,36000
G. Laborde,23,France,74,80,Girondins de Bordeaux,8000000,36000
J. Toljan,22,Germany,75,81,Borussia Dortmund,7500000,36000
E. Pulgar,23,Chile,75,80,Bologna,7500000,36000
S. Al Faraj,27,Saudi Arabia,75,75,Al Hilal,7000000,36000
O. Watkins,21,England,73,84,Brentford,7000000,36000
F. Frei,28,Switzerland,75,75,FC Basel,6500000,36000
Leonardo,30,Brazil,75,75,Al Nassr,6500000,36000
A. Szalai,29,Hungary,75,75,TSG 1899 Hoffenheim,6500000,36000
A. Masina,23,Italy,74,79,Bologna,6500000,36000
E. Goldaniga,23,Italy,74,77,Sassuolo,6000000,36000
N. Pepe,22,Ivory Coast,73,81,LOSC Lille,6000000,36000
V. Stocker,28,Switzerland,74,74,FC Basel,5500000,36000
Z. Kuzmanović,29,Serbia,74,74,Malaga CF,5500000,36000
A. El Ghazi,22,Netherlands,73,79,LOSC Lille,5500000,36000
L. Mazzitelli,21,Italy,73,78,Sassuolo,5500000,36000
A. Martynovich,29,Belarus,75,75,FC Krasnodar,5000000,36000
E. Krafth,22,Sweden,73,80,Bologna,4700000,36000
I. Mbaye,22,Senegal,73,80,Bologna,4700000,36000
F. Bardi,25,Italy,74,75,Frosinone,4600000,36000
J. Murphy,22,England,72,80,Newcastle United,4600000,36000
M. Valdifiori,31,Italy,75,75,Torino,4500000,36000
F. Helander,24,Sweden,73,78,Bologna,4500000,36000
M. Oikonomou,24,Greece,73,77,Bari,4400000,36000
W. Foderingham,26,England,73,77,Rangers,3600000,36000
J. Carrizo,33,Argentina,75,75,Monterrey,3400000,36000
A. Lazaar,25,Morocco,72,75,Benevento Calcio,3200000,36000
B. Bannan,27,Scotland,72,72,Sheffield Wednesday,3200000,36000
J. Hayes,29,Republic of Ireland,72,72,Celtic,3000000,36000
B. Sako,29,Mali,72,72,Crystal Palace,3000000,36000
W. Hennessey,30,Wales,73,73,Crystal Palace,2600000,36000
A. Dominguez,30,Ecuador,73,73,Colon de Santa Fe,2600000,36000
C. Gordon,34,Scotland,74,74,Celtic,2300000,36000
S. Baldock,28,England,70,70,Brighton & Hove Albion,1800000,36000
Lee Chung Yong,28,Korea Republic,70,70,Crystal Palace,1800000,36000
Diego Cavalieri,34,Brazil,73,73,Crystal Palace,1600000,36000
C. Bryson,30,Scotland,70,70,Cardiff City,1600000,36000
G. Boyd,31,Scotland,70,70,Sheffield Wednesday,1600000,36000
A. Abdi,30,Switzerland,70,70,Sheffield Wednesday,1600000,36000
B. Johnson,30,England,70,70,Derby County,1600000,36000
C. Molinaro,33,Italy,73,73,Torino,1500000,36000
Brahim Diaz,17,Spain,67,85,Manchester City,1500000,36000
R. Wallace,32,Scotland,70,70,Sheffield Wednesday,1400000,36000
D. Jones,32,England,70,70,Sheffield Wednesday,1300000,36000
G. Donnarumma,18,Italy,82,93,Milan,27000000,35000
Y. Tielemans,20,Belgium,79,89,AS Monaco,20000000,35000
Jemerson,24,Brazil,80,83,AS Monaco,16000000,35000
Rony Lopes,21,Portugal,79,82,AS Monaco,16000000,35000
E. Višća,27,Bosnia Herzegovina,80,80,İstanbul Başakşehir FK,15500000,35000
A. Harit,20,Morocco,78,86,FC Schalke 04,15500000,35000
D. Benedetto,27,Argentina,79,79,Boca Juniors,13500000,35000
A. Diawara,19,Guinea,77,87,Napoli,13500000,35000
D. Sidibe,24,France,79,81,AS Monaco,12500000,35000
A. Miranchuk,21,Russia,77,84,Lokomotiv Moscow,12500000,35000
B. Embolo,20,Switzerland,76,86,FC Schalke 04,12500000,35000
A. Rami,31,France,81,81,Olympique de Marseille,12000000,35000
A. Schöpf,23,Austria,77,82,FC Schalke 04,12000000,35000
R. Soriano,26,Italy,78,78,Villarreal CF,11000000,35000
Formosandrinho,25,Brazil,77,77,São Paulo Futebol Clube,10000000,35000
D. Abraham,30,Argentina,79,79,Eintracht Frankfurt,9500000,35000
D. Cheryshev,26,Russia,76,76,Villarreal CF,8500000,35000
Y. Sabaly,24,Senegal,76,80,Girondins de Bordeaux,8500000,35000
I. Amadou,24,Cameroon,76,81,LOSC Lille,8500000,35000
Otavio,23,Brazil,76,80,Girondins de Bordeaux,8500000,35000
R. Berić,26,Slovenia,75,77,AS Saint-Étienne,8000000,35000
L. Klostermann,21,Germany,75,82,RB Leipzig,8000000,35000
Leo Bonatini,23,Brazil,74,80,Wolverhampton Wanderers,8000000,35000
M. Locatelli,19,Italy,74,85,Milan,8000000,35000
C. Nkunku,19,France,74,82,Paris Saint-Germain,8000000,35000
E. Puch,30,Chile,76,76,Queretaro,7500000,35000
H. Nordtveit,27,Norway,76,77,TSG 1899 Hoffenheim,7500000,35000
Laure Santeiro,29,Brazil,76,76,Cruzeiro,7500000,35000
E. Bičakčić,27,Bosnia Herzegovina,76,77,TSG 1899 Hoffenheim,7500000,35000
K. Theophile-Catherine,27,France,76,77,AS Saint-Étienne,7500000,35000
Y. Ōsako,27,Japan,75,75,1. FC Köln,7000000,35000
T. Jantschke,27,Germany,76,76,Borussia Mönchengladbach,6500000,35000
C. Hourihane,26,Republic of Ireland,74,75,Aston Villa,6500000,35000
E. Cerutti,25,Argentina,74,75,Al Hilal,6500000,35000
S. Al Dawsari,25,Saudi Arabia,74,75,Villarreal CF,6500000,35000
O. Wendt,31,Sweden,77,77,Borussia Mönchengladbach,6000000,35000
M. Debuchy,31,France,77,77,AS Saint-Étienne,6000000,35000
S. Dzhanaev,30,Russia,77,77,Rubin Kazan,5500000,35000
Y. Gazinskiy,27,Russia,75,75,FC Krasnodar,5500000,35000
S. Zoller,26,Germany,73,76,1. FC Köln,5000000,35000
D. Tarasov,30,Russia,75,75,Lokomotiv Moscow,4900000,35000
R. Shishkin,30,Russia,75,75,FC Krasnodar,4800000,35000
M. Silvestre,32,Italy,76,76,Sampdoria,4400000,35000
K. Panchenko,27,Russia,73,73,Dinamo Moscow,4300000,35000
S. Petrov,26,Russia,73,74,FC Krasnodar,3800000,35000
J. Dezi,25,Italy,72,74,Parma,3700000,35000
M. Schmiedebach,28,Germany,73,73,Hannover 96,3200000,35000
M. Pektemek,28,Turkey,72,72,Beşiktaş JK,3200000,35000
R. Insigne,23,Italy,71,75,Parma,3100000,35000
L. Rodriguez,26,Mexico,72,73,Tigres U.A.N.L.,3000000,35000
F. Melchiorri,30,Italy,72,72,Carpi,3000000,35000
T. Mykhalyk,33,Ukraine,74,74,Lokomotiv Moscow,2300000,35000
D. Ward,24,Wales,70,78,Liverpool,2000000,35000
A. Pearce,28,Republic of Ireland,71,71,Derby County,1900000,35000
A. Weimann,25,Austria,70,70,Derby County,1900000,35000
E. Martinez,24,Argentina,70,76,Getafe CF,1800000,35000
Alan Santos,26,Brazil,70,73,Tiburones Rojos de Veracruz,1800000,35000
P. Oniangue,28,Congo,70,70,Angers SCO,1800000,35000
William,30,Brazil,70,70,Club America,1600000,35000
P. Gazzaniga,25,Argentina,70,74,Tottenham Hotspur,1600000,35000
R. Yanbaev,33,Russia,73,73,FC Krasnodar,1500000,35000
I. Jimenez,27,Mexico,70,70,Tigres U.A.N.L.,1500000,35000
C. Forsyth,28,Scotland,70,70,Derby County,1400000,35000
H. Milić,28,Croatia,70,70,Napoli,1400000,35000
M. Olsson,29,Sweden,70,70,Derby County,1300000,35000
D. Marney,33,England,70,70,Burnley,1000000,35000
J. Rivas,32,Mexico,70,70,Tiburones Rojos de Veracruz,1000000,35000
M. Sanson,22,France,81,87,Olympique de Marseille,24000000,34000
G. Bou,27,Argentina,79,79,Club Tijuana,13500000,34000
David López,27,Spain,79,79,RCD Espanyol,10500000,34000
K. Linetty,22,Poland,76,83,Sampdoria,10500000,34000
D. Praet,23,Belgium,76,81,Sampdoria,10000000,34000
A. Masiello,31,Italy,79,79,Atalanta,8500000,34000
F. Bartels,30,Germany,77,77,SV Werder Bremen,8500000,34000
A. Paloschi,27,Italy,76,76,Ferrara (SPAL),8000000,34000
G. Sio,28,Ivory Coast,76,76,Montpellier Herault SC,8000000,34000
Samu Saiz,26,Spain,75,76,Leeds United,8000000,34000
Eltildo Correia,25,Brazil,76,76,Sociedade Esportiva Palmeiras,7000000,34000
E. Velazquez,23,Uruguay,74,81,Rayo Vallecano,7000000,34000
J. Riedewald,20,Netherlands,74,82,Crystal Palace,7000000,34000
R. Álvarez,29,Argentina,75,75,Sampdoria,6500000,34000
E. Bicfalvi,29,Romania,75,75,FC Ural,6500000,34000
G. Pazzini,32,Italy,76,76,Levante UD,6000000,34000
