Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Population Density (per sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any methods (% of women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)"
Djibouti,DJI,927414,1.658026934,23200,39.97474138,..,1609541622,1740,..,..,..,62.26,2.913,19.9894,..,..,65.7,..,74,60.26676941,43.29436874,0.845109999,1.4,56,..,..,..,..,1633741923,9.683798116,2.36831413,1.776889864,16.78238699,38.67626515,68.8404821,44.66232719,..,7,..,..,33.89532614,..,74.30378146,94.38540848,1233236000,2.711913827,..,12097681.75,123998424.5,182.8309687,1761.610158,-123998424.5,-0.847389734
Dominica,DMA,73162,0.526244876,750,97.54933333,..,494399106.1,6760,749319274.2,10240,..,..,..,..,..,96,31.2,..,96,111.1111069,100.4878922,0.982050002,..,433.3,..,..,..,..,535095851.9,-2.543734679,4.84969365,14.20335208,11.34252444,50.06174733,58.80643191,..,..,5,..,..,105.5930674,..,45.62098532,109.3827665,314211000,4.494985503,..,24805920.92,10935384.62,160.0557667,7313.849428,-22726821.66,-0.786447746
Dominican Republic,DOM,10528394,1.170822649,48670,216.3220464,32.3,65784971246,6250,1.42E+11,13490,5.1,73.673,2.451,97.2322,..,99.6,31.6,..,90,94.2195282,77.82084656,0.986829996,1,19830,..,..,..,..,68802092021,7.033371069,0.640803048,5.602784823,25.66428834,24.5165951,29.421323,22.57696166,18.17954639,7,..,0.672525002,83.55734977,3.830713713,38.2957832,102.8018751,26657050000,8.032672122,..,585000000,2227300000,26.59095015,6534.908555,-2204900000,0.826638478
Ecuador,ECU,16144368,1.505644485,256370,62.97292195,23.3,96829951402,6000,1.82E+11,11250,4.6,76.102,2.514,75.2802,..,95,15.1,..,84,115.7195282,107.7003937,1.019850016,0.3,125478.8,..,..,..,..,99290381000,0.098872608,-2.491020758,9.454851422,31.87212767,21.25822138,23.98565577,26.87009832,..,12,..,2.575061387,80.17527227,7.169197661,40.13337203,118.9707819,27257426000,5.138593201,..,291533662.2,1322465337,19.7071821,6150.155955,-1322477337,3.968084691
"Egypt, Arab Rep.",EGY,93778172,2.118294825,1001450,93.64239053,27.8,3.10E+11,3310,9.91E+11,10570,9.1,71.304,3.311,51.8828,..,..,23.7,..,92,..,..,..,0.1,730,..,..,..,..,3.33E+11,4.372019078,9.93088973,11.39408323,36.63020173,13.18384549,21.66209747,14.28863701,20.98862474,8,16.58917793,1.554923753,100.2537691,0.783244919,25.52554855,144.5213089,48459014000,1.156232127,..,622700000,6925200000,26.65257753,3547.713012,-6743500000,10.36206974
El Salvador,SLV,6312478,0.496901568,21040,300.0227186,34.9,24512738747,3880,50842515809,8050,6.1,73.267,2.101,71.0814,..,99.9,15.5,..,95,96.72319031,75.67807007,0.978420019,0.6,2650,..,..,..,..,23166030400,2.377628955,0.186749049,5.813706866,24.37875287,28.99953028,47.11907829,15.62823944,21.05962775,9,..,0.951929889,147.867953,4.38507398,68.21380153,60.09348445,14913049000,4.866909626,..,74340145.28,494541718.1,14.20995051,3669.878992,-396350024,-0.73063367
Equatorial Guinea,GNQ,1175389,3.989138838,28050,41.90335116,..,12671331018,10780,26011945495,22130,..,57.434,4.775,160.0836,..,..,96,..,27,40.59571838,..,..,6.5,15680,..,..,..,..,13180194733,-9.089058793,-20.21117423,1.888390976,59.10059042,56.65847684,42.2195876,24.70145422,26.70721228,18,..,..,45.37527576,..,75.87141315,141.1334697,..,..,..,..,233242320.5,6.372358428,11213.47463,..,1.676630853
Eritrea,ERI,..,..,117600,..,..,..,..,..,..,..,64.636,4.208,55.3706,..,..,46.1,..,97,42.53964996,33.14200974,0.855799973,0.6,15100,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..,9.799924737,..,..,88.97458359,873145000,..,..,..,49323061.48,..,..,..,..
Estonia,EST,1315407,0.06555253,45230,29.08262215,..,24177314113,18380,36944627848,28090,7.5,77.5902439,1.58,14.0274,..,99.5,3.1,..,93,98.59751892,110.8597336,0.998870015,0.6,22320,..,4173.326583,..,..,22566956982,1.674286623,1.246192558,2.714448941,24.02348492,78.60628123,74.60395153,24.9411356,2.306262145,3,..,2.054286335,144.7209464,11.39249242,121.2851448,86.80579518,..,..,..,93647844.57,-714370930.3,..,17155.87418,136864862.9,-0.492326007
Ethiopia,ETH,99873033,2.541468619,1104300,90.44012768,23.5,60033906069,600,1.62E+11,1630,6.6,65.037,4.317,67.2518,37.9,..,64.2,..,65,54.28184891,35.09978867,0.920340002,1,124990,..,..,..,..,64464547915,10.39246302,10.83654278,36.05697539,16.29779364,9.363313597,30.29281055,40.67127298,..,14,..,0.740451469,42.3654191,4.003317802,30.96769668,136.4733662,20139846000,1.623170609,..,14437634.41,2626520130,32.37820964,645.4650067,-2626520130,10.11074774
Faroe Islands,FRO,48965,0.251515873,1396,35.0752149,..,..,..,..,..,..,81.9902439,2.4,..,..,..,..,..,..,..,..,..,..,0.8,..,..,..,..,2476746087,..,..,..,..,..,..,..,..,..,..,..,108.6755846,..,78.05798771,111.3037166,..,..,..,..,..,..,50581.96849,..,..
Fiji,FJI,892149,0.713519398,18270,48.83136289,..,4290204064,4810,7728323625,8660,..,70.117,2.541,43.5248,..,99.9,24.6,..,94,106.3673172,..,..,..,10172,..,..,..,..,4362128146,3.844407023,4.127385105,9.423066667,14.91576393,49.92786885,55.58360656,17.89234973,27.60011436,11,..,0.966007296,108.2722729,2.292610182,68.22438269,109.5030973,871282000,1.137493067,..,9093673.519,307878423.7,114.8687047,4889.461454,-341819493.5,1.376130953
Finland,FIN,5479531,0.329383886,338420,16.19151055,..,2.55E+11,46630,2.33E+11,42450,9.4,81.4804878,1.65,7.0306,85.5,99.9,2.4,..,95,99.02333832,150.0073547,1.05697,..,222180,..,5924.700125,..,..,2.32E+11,0.135082255,1.872375163,2.225625465,23.32636782,36.49405546,36.9658976,20.92183355,37.49355928,3,..,1.462441729,134.91875,8.727074859,51.75529004,94.06756425,..,..,..,927351867,16843228522,..,42424.22081,-18112500507,-0.20792884
France,FRA,66593366,0.41723803,549087,121.2801724,..,2.71E+12,40730,2.74E+12,41100,7.9,82.27317073,1.96,8.9614,..,97.7,4.2,..,91,..,111.0670395,1.003620028,0.5,169890,..,3689.517767,..,..,2.44E+12,1.067461647,1.183731312,1.605644387,17.67969171,30.59262238,31.15907156,22.71232406,44.76499614,5,85.64968201,2.274223958,103.4500397,26.84724696,44.28233053,91.85510376,..,..,..,12787010561,42803255076,..,36613.37522,-2107836717,0.037514381
French Polynesia,PYF,277690,0.79758329,4000,69.4225,..,..,..,..,..,..,76.628,2.028,36.269,..,..,..,..,..,..,..,..,..,1550,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.63077533,11.19751779,..,87.66815225,..,..,..,9522350.051,26007149.16,..,..,-3267219.219,..
Gabon,GAB,1930175,2.862181858,267670,7.211024769,..,15520240284,8040,31732200731,16440,..,65.685,3.85,101.667,..,..,52.5,..,68,..,..,..,4.3,230000,..,..,..,..,14377389786,3.879257595,-8.926648359,4.31116599,48.18510025,45.93637914,27.91791615,29.23031693,..,9,..,1.194602857,146.1813048,..,60.06202676,134.5187965,5057389000,2.998267269,..,..,990434781.2,51.17670678,7448.749355,..,-0.338795189
"Gambia, The",GMB,1977590,3.067312186,11300,175.0079646,48.6,865257810.1,440,3197191366,1620,7.4,60.954,5.488,84.687,..,..,67.9,..,97,68.87774658,..,..,1.8,4880,..,..,..,..,907655651.5,4.299999773,6.373763021,17.30367046,13.49656722,24.69868588,50.42119178,19.69877349,..,7,..,1.481032406,137.3222963,..,57.92674697,103.7256669,526775000,4.361953289,..,20288573.48,-1692732.888,54.45011352,458.9705912,652250.0557,6.808326252
Georgia,GEO,3717100,-0.265982613,69700,53.32998565,21.6,15323191278,4120,34743833778,9350,6.8,73.096,2.003,48.201,..,99.9,12.1,..,96,105.7999115,101.8439178,1.014979959,0.4,28224,..,..,..,..,13993546732,2.880318509,5.886766367,7.896645965,21.32921837,44.73795666,62.27022682,31.50418064,24.73551431,2,..,2.380033268,140.4706134,5.567077001,67.92416663,136.97766,14817264000,15.24631743,..,95862423.06,1659056485,120.7742595,3764.640912,-1343356814,4.003578207
Germany,DEU,81686611,0.865702644,357380,228.5707398,..,3.74E+12,45790,3.98E+12,48690,7.8,80.64146341,1.5,7.1462,..,98.7,3.9,..,97,100.4825592,101.0608521,0.965129972,0.2,114190,..,3817.549415,..,..,3.38E+12,1.743205394,2.01304621,0.555221527,27.48611043,46.87483778,38.88094886,19.14845662,28.14738883,9,50.82932953,1.179472016,117.9324532,16.66114593,70.45114483,99.59884763,..,..,..,18033313160,54117732438,..,41323.9215,74838415351,0.234429945
Ghana,GHA,27582821,2.274380311,238540,115.6318479,..,41086534675,1490,1.13E+11,4110,..,62.448,4.042,68.677,34.7,..,54.7,..,89,100.2382965,59.43994904,0.982070029,1.7,93370,..,..,..,..,37338430643,3.837040864,16.3688832,19.08154583,23.57990819,44.42404439,56.12257565,16.71246007,..,8,..,0.526514224,126.920981,..,63.70420393,166.1641885,20630861000,2.877984118,..,2607106387,3192320531,64.12288286,1353.68426,-2970893677,17.1499695
Gibraltar,GIB,34228,0.556647498,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,121.0733902,..,..,52.41832365,..,..,..,..,-2174517000,..,..,..,..
Greece,GRC,10820883,-0.658861361,131960,82.00123522,..,2.20E+11,20360,2.90E+11,26820,5.9,81.03658537,1.33,7.7494,..,..,4.8,..,97,94.62859344,99.33422089,0.961749971,0.2,40540,..,2182.071093,..,..,1.96E+11,-0.290902297,-1.024371478,3.747923793,13.79640318,31.72263646,31.67098002,9.818877913,46.72059116,5,21.51948501,2.472716812,112.0241848,10.98679549,39.4202015,90.353773,..,..,..,974842248,1268311158,..,18070.77678,313745668.1,-1.736036796
Greenland,GRL,56114,-0.322038549,410450,0.136713363,..,..,..,..,..,..,..,2.01,..,..,..,..,..,..,..,..,..,..,2.2,..,..,..,..,2520206900,0.31010915,6.131058202,16.92823062,12.75264365,37.0831048,45.98217708,25.29002047,..,..,..,..,108.2001525,11.9967389,42.61594881,86.55513545,..,..,..,..,..,..,44912.26609,..,..
Grenada,GRD,106823,0.434369277,340,314.1852941,..,929821695.3,8700,1402102725,13130,..,73.531,2.126,31.6494,..,..,16.3,..,99,..,99.15850067,0.977069974,..,169.9,..,..,..,..,997007925.9,6.437965461,2.7671226,7.428340961,12.32439773,58.0056015,56.71579787,..,..,6,..,..,112.1172407,..,40.57450192,98.40639481,685793000,2.865203332,..,15757090.67,86280526,225.606845,9333.270231,-88554019.55,-0.515448031
Guam,GUM,161797,0.514308801,540,299.6240741,..,..,..,..,..,..,79.379,2.367,34.325,..,..,..,..,..,..,..,..,..,250,..,..,..,..,5697000000,0.484777972,2.504347099,..,..,18.36054064,53.60716166,..,..,..,..,..,..,..,11.80196595,100.9722082,..,..,..,..,..,..,35210.78883,..,..
Guatemala,GTM,16252429,2.044266382,108890,149.255478,..,58672123831,3610,1.23E+11,7570,..,73.15,3.029,73.9864,60.6,65.5,29.6,12.6,77,82.71166992,64.45839691,0.959619999,0.5,35400,..,..,..,..,63767597194,4.140044358,3.230927516,10.48103647,26.51131408,21.16044686,30.14581684,13.62468792,10.80593498,8,..,0.395734074,111.4995795,5.019300411,44.40703625,102.8128277,20245919000,3.392244179,..,24879300,1175523400,25.30637113,3923.573344,-1104000700,2.388720328
Guinea,GIN,12091533,2.393916866,245860,49.18056211,..,8348385664,690,21420683145,1770,..,59.419,4.934,139.5256,..,..,91.7,..,48,..,..,..,1.6,63640,..,..,..,..,8857789706,3.81494989,2.982797708,18.4782419,26.32464161,23.06351538,49.0762204,23.50475791,..,6,..,3.305083056,89.02097029,0.956637362,44.85204698,97.47846584,1389403000,1.189108946,..,25699500.51,53272458.42,44.49725275,732.5613473,48221446.69,8.150870775
Guinea-Bissau,GNB,1770526,2.561841573,36130,49.00431774,..,1105612763,620,2793724067,1580,..,57,4.71,89.9284,..,..,90.7,..,81,..,..,..,3.6,19720,..,..,..,..,1047808175,6.134082942,12.10198864,46.78812528,12.25397134,27.54304392,32.23849284,8.085553073,..,9,..,1.676929222,69.95056836,..,43.82580954,92.39585771,314876000,0.229275797,..,38406676.67,18575499.45,53.6789632,591.8061497,-16230041.41,1.404608873
Guyana,GUY,768514,0.668580935,214970,3.574982556,..,3118999486,4060,5759932006,7490,..,66.536,2.534,87.5268,..,..,33.3,..,99,..,..,..,1.7,165260,..,..,..,..,3166029056,3.162407787,-0.239043441,17.14921572,29.93170538,41.25672813,60.02155908,32.27544223,..,7,..,1.342694691,70.60352837,0.060717614,83.47680812,114.7539832,1639012000,2.300485604,..,131992083.3,137700000,41.82096878,4119.676487,-137700000,-1.001734328
Haiti,HTI,10711061,1.302387138,27750,385.9841802,..,8710984924,810,18909569565,1770,..,63.055,2.973,38.976,..,..,75,..,53,..,..,..,1.9,970,..,..,..,..,8724656126,1.211218343,6.878637782,17.08219019,56.99159016,20.00736467,50.54432495,41.08381773,..,12,..,0.000887538,68.15384582,..,52.32446911,64.21458844,2084271000,0.395954896,..,247297661.3,105680000,97.64298794,814.5463952,-105680000,9.016518813
Honduras,HND,8960829,1.706429882,112490,79.65889412,63.8,18747597401,2090,38394917938,4280,3.6,73.376,2.507,73.5778,..,..,19.6,..,97,80.75003815,63.47639084,1.058130026,0.4,45920,..,..,..,..,20979767785,3.840079971,6.932770369,12.21597845,25.64997094,45.16675746,62.0976479,25.11800475,23.36315517,11,..,1.549887196,89.81744881,..,92.10254469,73.43413617,7585208000,6.567834298,..,41100000,1316679827,60.32031188,2341.27532,-951580322.1,3.15783118
"Hong Kong SAR, China",HKG,7291300,0.851197911,1105,..,..,3.00E+11,41180,4.24E+11,58120,..,84.27804878,1.196,2.8314,..,..,..,..,..,104.1111603,101.427887,0.973779976,..,..,..,..,..,..,3.09E+11,2.38784571,3.64350237,0.067965375,7.058016579,195.8976016,193.5083476,21.54147973,..,2,1029.425587,..,230.8187986,11.57783861,345.8563759,103.1145434,..,..,..,758670560.6,1.81E+11,..,42431.88828,-1.03E+11,2.995391705
Hungary,HUN,9843028,-0.237855002,93030,105.8048801,..,1.28E+11,12960,2.43E+11,24680,7.8,75.56829268,1.45,19.9328,..,..,5.1,..,99,96.92520142,103.0008392,1.002799988,0.1,20690,..,2432.751791,..,..,1.23E+11,3.367145175,1.88484189,3.710182143,26.63304016,90.21258235,81.35328782,21.83382468,40.46319074,6,14.39378897,0.938358749,120.4609193,..,155.1156839,101.0347284,..,..,..,690138526.8,-4919015554,..,12483.86594,-2856537119,-0.06164468
Iceland,ISL,330815,1.041940387,103000,3.211796117,..,16526500157,49960,15344038675,46380,..,82.46829268,1.8,7.827,..,98.2,2.3,..,93,..,119.0827332,1.003790021,..,492,54.94397637,17478.89304,..,..,16942247374,4.311317806,6.041828692,5.448539054,19.51465249,53.18771091,45.85541349,19.13844489,30.61494615,5,..,0,116.2534861,19.90161275,59.31813228,88.59378204,..,..,..,84084338.52,1145767445,..,51213.66133,-695187948.3,1.633055582
India,IND,1309053980,1.167527075,3287259,398.2205175,..,2.10E+12,1600,7.93E+12,6060,..,68.302,2.352,25.9968,..,..,44.1,35.7,87,97.7277298,73.97898865,1.066089988,0.2,706820,..,..,..,..,2.10E+12,8.154425028,2.071893515,16.16798686,27.22038841,19.82442628,22.12225363,31.79231187,..,13,72.11868999,2.405128349,76.4717128,7.517758047,31.40759783,104.2709273,4.79E+11,2.393911641,..,4882832496,44009492130,2.424919101,1606.038285,-36495216491,4.906973441
Indonesia,IDN,258162113,1.181013915,1910931,135.0975587,11.2,8.87E+11,3430,2.76E+12,10670,0,69.025,2.389,48.6144,61.5,..,27.2,..,75,102.1675491,87.29934692,0.987049997,0.4,910100,..,..,..,..,8.61E+11,4.8763223,3.98024266,13.49264356,40.0478624,21.16017926,20.77746098,34.06279218,12.96669934,12,41.03725644,0.886273832,131.2928284,6.628957178,34.04306886,123.6759695,3.08E+11,6.69444883,..,4605139443,19779127977,-0.129376072,3334.549075,-10704478317,6.363121131
"Iran, Islamic Rep.",IRN,79360487,1.203520261,1745150,45.4748801,..,4.24E+11,5340,1.40E+12,17620,..,75.73,1.686,26.4394,..,..,16,..,99,101.5314331,88.94587708,1.034980059,0.1,106919.8,..,..,..,..,3.86E+11,-1.32064512,0.429237409,10.48470358,32.96959372,19.74338617,19.27391453,34.033613,..,9,23.17542256,2.630729502,93.52111839,..,27.18500625,314.1028492,6321580000,0.205837273,..,..,2050000000,1.39742086,4862.299729,..,13.70579975
Iraq,IRQ,36115649,3.120450103,435050,83.01493851,..,2.15E+11,5960,5.75E+11,15930,..,69.672,4.427,79.462,..,..,32.3,..,57,..,..,..,..,8250,..,..,..,..,1.80E+11,4.8,-26.86570912,4.749,41.46,34.91883643,40.92398665,24.4,28.40449375,9,..,5.346370529,92.92093851,..,49.23619252,102.9330148,..,..,..,539300000,3316300000,41.06087087,4974.02693,-3168600000,1.393330288
Ireland,IRL,4701957,0.944845307,70280,66.90320148,..,2.44E+11,51850,2.55E+11,54230,8,81.45365854,1.92,10.6084,..,99.7,3.7,..,93,..,127.2084885,1.009729981,0.2,7540.2,..,2819.875852,..,..,2.91E+11,25.55726885,7.2800333,0.893116682,38.40423485,124.6425558,91.54415077,21.18490477,25.67914057,4,44.04726713,0.351425725,104.2956894,26.75198751,68.99029215,90.08346173,..,..,..,1564024377,2.35E+11,..,61807.67037,-45357839475,-0.289879079
Isle of Man,IMN,83167,0.696202671,570,145.9070175,..,6873650536,82650,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.6,..,..,..,..,6792417112,-3.4,1.948149351,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81672.0227,..,..
Israel,ISR,8380100,1.981288976,22070,379.7054826,..,3.02E+11,36080,2.98E+11,35580,..,82.05121951,3.09,10.1468,..,..,3.8,..,98,108.838623,102.4872437,1.008229971,..,1650,..,2777.875324,..,..,2.99E+11,3.037943899,2.244444902,1.172456991,18.80231238,31.27073321,28.25848001,19.7556653,32.4607448,5,81.54754383,5.670256584,131.0674983,19.66319322,43.02679725,112.1674473,..,..,..,4732700000,11336200000,..,35690.96308,-367800000,-0.600006527
Italy,ITA,60730582,-0.096376133,301340,201.5350833,..,2.00E+12,32970,2.21E+12,36440,5.9,82.54390244,1.35,6.2124,..,..,3.5,..,85,100.4257507,103.1770172,0.98299998,0.2,92970,..,2481.754645,..,..,1.83E+12,0.951958872,0.937903127,2.018870252,21.17655075,29.92600911,26.99605348,17.30645895,38.3417312,6,..,1.380512271,147.3697996,..,47.38417037,103.2381326,..,..,..,9442566905,13299083868,..,30180.32151,2795798556,0.0387904
Jamaica,JAM,2871934,0.343459143,10990,261.322475,..,13597011231,4730,23989472607,8350,..,75.836,2.026,55.9558,..,..,16.2,..,91,..,80.59925079,..,1.8,3352,..,..,..,..,14186886643,0.892651592,6.616117248,6.302290202,19.16247642,29.910342,46.20453409,21.26985256,27.48626439,2,..,0.868420522,109.2369463,0.085597606,44.09434683,85.69551382,14108990000,29.5998493,..,287140244.5,924977863.7,20.56802141,4939.837281,-920632767.6,3.675887919
Japan,JPN,127141000,-0.106124994,377962,336.3856684,..,4.94E+12,38880,5.37E+12,42270,..,83.79390244,1.45,4.2384,39.8,99.9,3,..,96,..,102.1422729,1.00462997,0.1,249580,..,3428.557216,..,..,4.39E+12,1.353823114,2.141344449,1.110292794,28.8978202,17.58892813,18.00747313,24.0053024,12.61091931,9,111.3752878,0.960651845,125.4618376,16.78206158,28.95963,86.90888387,..,..,..,4000341421,5252218412,..,34567.74568,1.33E+11,0.78951789
Jordan,JOR,9159302,3.896131218,89320,102.5448052,..,35594302956,3890,81861950186,8940,..,74.182,3.445,24.131,..,..,18.1,..,94,..,..,..,..,975,27.36087942,..,..,..,37517410282,2.39169597,2.272429348,3.678573448,26.12258107,37.58780717,60.48909957,24.10148517,..,7,67.84159623,4.30447416,150.6443177,1.817742985,75.45264816,79.33271693,25719578000,5.729737517,..,596760563.4,1600281690,234.9360246,4096.099275,-1599295775,-0.87691336
Kazakhstan,KAZ,17542806,1.461484685,2724902,6.437958503,2.7,2.00E+11,11420,4.13E+11,23550,10,72,2.73,29.3336,55.7,99.4,12,2,99,113.2292786,109.4495773,1.021180034,0.2,33090,..,..,..,..,1.84E+11,1.2,1.823549877,4.710547419,30.85478739,28.51670801,24.5330208,27.9079156,13.66643674,6,18.9230309,1.141193945,148.2243479,41.19050836,41.50124772,151.7973384,1.53E+11,20.16307178,..,3077889688,6379438050,4.70278244,10510.77189,-3063061512,6.678285856
Kenya,KEN,47236259,2.599336534,580370,81.38990472,36.1,61836034657,1310,1.41E+11,2990,6.2,66.695,3.917,83.0942,66.3,..,48.7,..,96,101.4895325,..,..,5.1,44130,..,..,..,..,64007293815,5.718507131,10.02498138,30.19240945,17.30080727,16.59244332,27.61887676,21.46595653,21.19959202,12,..,1.330737341,79.84532391,..,34.37020172,102.5350085,19764038000,1.3152899,..,35050867.92,619724470.5,52.16712865,1355.045788,-377731862.2,6.582174403
Kiribati,KIR,112407,1.749085489,810,138.7740741,..,388895550.4,3460,488282467.4,4340,..,66.13,3.693,18.1598,..,..,57.8,..,84,..,..,..,..,121.5,..,..,..,..,169140560.4,10.29603364,2.86664791,..,..,9.815983619,103.4453658,..,121.902016,7,..,..,36.47459678,..,81.41157842,105.1931958,..,..,..,948075.9101,837637.7448,577.8109904,1504.715547,-790860.2813,0.572015744
"Korea, Dem. People?s Rep.",PRK,25243917,0.506566972,120540,209.4235689,..,..,..,..,..,..,71.457,1.921,0.2928,..,..,21,..,98,..,92.98803711,..,..,50310,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.83477521,..,..,65.50377898,..,..,..,..,82063000,5.206402794,..,..,..
"Korea, Rep.",KOR,51014947,0.527288497,100280,508.7250399,..,1.39E+12,27250,1.80E+12,35300,..,82.02439024,1.239,1.6922,79.6,100,3.5,..,98,98.88244629,100.1968994,1.002760053,..,61840,..,5413.347857,..,..,1.38E+12,2.790236167,2.394658864,2.085013853,34.89108503,45.33668976,38.37543177,28.91811192,26.30360808,3,89.03903601,2.644758513,116.4870829,26.84150956,69.66156055,58.7656461,..,..,..,8365200000,4104100000,..,27105.07623,19656300000,0.70620817
Kosovo,XKX,1801800,-1.103885809,10887,165.5001378,17.6,7167361490,3980,17845749725,9900,9.5,71.34634146,2.09,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6439946767,4.094454536,0.197417395,10.32564708,23.78458386,21.9394169,50.3917753,27.57581498,..,4,..,0.776154026,..,..,..,..,2158196000,2.455969381,..,68371445.22,343256140.8,242.984793,3574.17403,-302192096.6,-0.538793103
Kuwait,KWT,3935794,3.97406926,17820,220.8638608,..,1.60E+11,40750,3.19E+11,81000,..,74.577,1.986,9.7994,..,99.9,8.8,..,93,..,97.53235626,1.060940027,0.1,62.5,..,..,..,..,1.15E+11,0.593019617,-25.95841894,0.537807521,55.93604326,53.76537784,44.93448553,25.42808492,38.62119379,12,..,5.03073036,148.5427083,2.717092493,74.26693154,126.6642767,..,..,..,15202536401,284647623.8,..,29109.06874,5154974475,3.271701661
Kyrgyz Republic,KGZ,5956900,2.059025966,199949,29.79209698,32.1,7028803387,1180,19743545516,3310,9.5,70.65121951,3.2,39.508,..,..,22.3,..,99,112.9829102,93.34668732,1.006440043,0.2,6370,..,..,..,..,6678178340,3.875825531,3.427287418,14.06076433,25.07806232,35.18960049,75.77197023,34.67146926,30.06601324,4,..,3.507499733,129.2228613,11.86204101,83.07999154,113.2810608,7510751000,6.427532473,..,362554963,1144054000,129.2601857,1121.082835,-1009094000,6.50331839
Lao PDR,LAO,6663967,1.322792589,236800,28.14175253,..,13309732549,2000,39023012655,5860,..,66.335,2.758,63.9566,..,..,67.9,..,88,101.6550827,63.60427094,0.943910003,0.3,187614.1,..,..,..,..,14390391264,7.269591775,2.348585293,17.58814396,27.69341925,33.95237774,51.8462483,31.55676354,15.80735147,8,..,..,55.93007889,35.20783281,55.60488143,97.83027121,13012454000,3.060165165,..,43338071.87,1421167447,70.69212678,2159.433152,-1421167447,1.277354271
Latvia,LVA,1977527,-0.818626341,64490,30.66408746,..,29595792823,14970,48261129005,24400,7.1,74.4804878,1.7,14.1934,..,99.9,5,..,96,100.2413635,112.2302933,0.990490019,..,33560,..,..,..,..,26972863394,2.971703832,0.001230036,3.642632393,19.55234231,60.40379643,60.9141268,22.2342926,43.23705814,4,..,1.050235366,129.97682,..,98.70540091,99.26260072,..,..,..,494501725.1,838627741.1,..,13639.69412,-695416895,0.174242244
Lebanon,LBN,5851479,4.334248771,10450,559.9501435,..,47041676547,8040,82183544197,14040,..,79.409,1.72,12.5314,..,..,8.4,..,79,72.03408813,61.30218887,0.944850028,0.1,1373,..,..,..,..,49459296463,0.815560066,2.562592677,3.454907048,15.38183458,26.90065674,47.18291595,21.36276305,17.28751491,8,23.01073977,4.412125161,79.59784184,..,46.66158205,105.6332756,30895976000,8.010673527,..,3674947485,2159289952,166.6108688,8452.443641,-1691490626,-3.749145248
Lesotho,LSO,2174645,1.335998003,30360,71.62862319,..,2867750122,1320,6970527742,3210,..,53.745,3.143,89.9072,..,..,93.8,..,90,76.11792755,53.53892899,1.056509972,23.8,490,..,..,..,..,2505879960,2.516587746,9.911453087,4.969919445,32.83029919,40.38949287,81.76524451,28.77754945,44.83172364,7,..,1.885295352,98.41335022,..,114.2112379,82.11679114,888419000,2.005606532,..,..,113220010.4,38.23152744,1152.316796,-113220010.4,3.160309819
Liberia,LBR,4499621,2.449607646,111370,40.40245129,..,1701614567,380,3244554881,720,..,62.007,4.65,130.0688,..,..,80.1,..,64,..,37.39720917,0.869710028,1.5,41790,..,..,..,..,2034000000,0,1.043219076,34.37069813,12.53687316,19.46902655,106.5486726,20.15732547,..,5,..,0.727581121,81.16239123,..,96.87807276,117.4076229,836846000,2.525940707,..,339788070.6,232679832.5,243.2271518,452.0380717,-721033135.4,7.748696876
